stroke_amplitude,right_stroke_vel,right_motor_torque,right_motor_current,right_motor_voltage,right_motor_output_power,right_motor_efficiency_1,motor_efficiency,time
1.048699756,-15.75396121,-0.001816308,-1.197006795,-15.11841401,0.228912346,0.018224779,0.012649296,0.042
1.044058704,-23.20526053,-0.001817581,-1.201542666,-15.30497872,0.337419568,0.026517493,0.018348406,0.0422
1.037933988,-30.62358403,-0.001819331,-1.206119036,-15.49146887,0.445715402,0.034573405,0.02385475,0.0424
1.030334246,-37.99870894,-0.001828555,-1.21473705,-15.7273199,0.555861982,0.042256435,0.029095778,0.0426
1.021270348,-45.31948655,-0.001847376,-1.228583154,-16.02704873,0.669776946,0.049454995,0.034015126,0.0428
1.010755175,-52.57586592,-0.001868816,-1.243687889,-16.34125828,0.786037042,0.056270358,0.038676406,0.043
0.998803668,-59.75753414,-0.001890604,-1.258741286,-16.65352458,0.903822702,0.062757444,0.043116213,0.0432
0.985432811,-66.85428468,-0.001910539,-1.272482517,-16.94803484,1.021821926,0.068990396,0.047380981,0.0434
0.970661605,-73.85603336,-0.001933031,-1.287427825,-17.25581412,1.142128131,0.074856456,0.051411051,0.0436
0.954511038,-80.75283214,-0.001971436,-1.311206595,-17.67129281,1.273592473,0.079922338,0.054965608,0.0438
0.937004062,-87.53487994,-0.002033267,-1.348109091,-18.24749876,1.423854297,0.083898952,0.057881152,0.044
0.918165555,-94.19253781,-0.002115162,-1.396212285,-18.96041782,1.593860029,0.086885506,0.060207531,0.0442
0.898022286,-100.7163445,-0.002214636,-1.454093587,-19.79224445,1.784400039,0.088998697,0.062001874,0.0444
0.87660288,-107.0970288,-0.002326987,-1.519065974,-20.70949736,1.993707471,0.090445425,0.063374602,0.0446
0.853937776,-113.3255226,-0.002441492,-1.584999615,-21.63600809,2.213467077,0.091607142,0.064545619,0.0448
0.830059181,-119.392974,-0.002542064,-1.642701624,-22.45763003,2.428036602,0.092980866,0.065816172,0.045
0.805001029,-125.2907597,-0.002605523,-1.678926094,-23.0099631,2.611583385,0.095231771,0.06760151,0.0452
0.778798929,-131.0105009,-0.002646322,-1.701932487,-23.39527809,2.773568236,0.097939219,0.069657569,0.0454
0.751490116,-136.5440618,-0.002711016,-1.738322981,-23.94329973,2.961385623,0.099739585,0.071150915,0.0456
0.723113455,-141.8833049,-0.002611995,-1.680887509,-23.32448086,2.964788365,0.106389324,0.075621112,0.0458
0.693709203,-147.0212596,-0.001683204,-1.149042392,-16.81946195,1.979733966,0.152878629,0.102437432,0.046
0.663319152,-151.9502561,-0.002388346,-1.550600082,-21.88498326,2.903277878,0.121432226,0.085554446,0.0462
0.631986484,-156.6633428,-0.00246777,-1.594342027,-22.50981315,3.092873039,0.121723446,0.08618044,0.0464
0.599755724,-161.1538,-0.002544248,-1.636138127,-23.1066209,3.28012232,0.121978377,0.086762815,0.0466
0.566672674,-165.4152468,-0.002617058,-1.675579154,-23.67022044,3.463210913,0.122222728,0.08731959,0.0468
0.532784349,-169.4416276,-0.002685505,-1.712270604,-24.19561402,3.640290221,0.122479162,0.087867235,0.047
0.498138905,-173.2272211,-0.002748903,-1.745825088,-24.67789796,3.809478724,0.122768433,0.088421252,0.0472
0.462785575,-176.7666477,-0.002806597,-1.775871146,-25.11237207,3.968901961,0.123109432,0.088996143,0.0474
0.426774599,-180.054878,-0.002857954,-1.802051344,-25.49451621,4.116708008,0.123519879,0.089605801,0.0476
0.390157152,-183.0872393,-0.002902377,-1.824029769,-25.82008333,4.251106061,0.124016416,0.090263544,0.0478
0.352985267,-185.8594226,-0.002939309,-1.841491577,-26.085094,4.370385585,0.124615171,0.090982447,0.048
0.315311769,-188.3674886,-0.002968237,-1.854150021,-26.28592366,4.472954083,0.125331848,0.091775409,0.0482
0.277190195,-190.6078733,-0.002988698,-1.861745773,-26.41929432,4.557354511,0.126182278,0.092655504,0.0484
0.238674716,-192.5773932,-0.003000275,-1.864046418,-26.48226834,4.62228144,0.12718294,0.093636351,0.0486
0.199820066,-194.2732493,-0.003002613,-1.860854435,-26.47234752,4.666618555,0.128351009,0.094732161,0.0488
